"dataset","model","sample.size","effect_size","replicate","minor.freq","b.snp","b.med","SD","W_n","Z_n","K_n","U_n","n.resamples","R2.T1.U","R2.T2.U","truth.model","n.true.confs","true.confs","CSq.n.selected","CSq.n.tp","CSq.n.fp","CSq.n.fn","CSq.n.fp.other.trio","CSq.has.common.child","CSq.has.intermediate","CSq.selected","CSa.n.selected","CSa.n.tp","CSa.n.fp","CSa.n.fn","CSa.n.fp.other.trio","CSa.has.common.child","CSa.has.intermediate","CSa.selected","CSi.n.selected","CSi.n.tp","CSi.n.fp","CSi.n.fn","CSi.n.fp.other.trio","CSi.has.common.child","CSi.has.intermediate","CSi.selected","CSi.filter_int_child","CSq.filter_int_child","CSa.filter_int_child","mrggi.model","mrggi.b11","mrggi.b12","mrggi.b21","mrggi.b22","mrggi.marg.V1T1","mrggi.marg.V1T2","mrggi.p.b11","mrggi.p.b12","mrggi.p.b21","mrggi.p.b22","mrggi.p.marg.V1T1","mrggi.p.marg.V1T2","mrggi.B.T1T2","mrggi.B.T2T1","mrggi.F.T1","mrggi.weak.instrument","mrggi.n.tests.failed","mrggi.model.error","mrggi.none.B.T1T2","mrggi.none.p.T1T2","mrggi.none.FDR.T1T2","mrggi.none.GGcor","mrggi.none.F.T1","mrggi.none.n.covars","mrggi.none.n.pairs","mrggi.none.edge","mrggi.none.edge.fdr","mrggi.none.weak.instrument","mrggi.none.screened.out","mrggi.none.time.seconds","mrggi.none.error","mrggi.truth.B.T1T2","mrggi.truth.p.T1T2","mrggi.truth.FDR.T1T2","mrggi.truth.GGcor","mrggi.truth.F.T1","mrggi.truth.n.covars","mrggi.truth.n.pairs","mrggi.truth.edge","mrggi.truth.edge.fdr","mrggi.truth.weak.instrument","mrggi.truth.screened.out","mrggi.truth.time.seconds","mrggi.truth.error","mrggi.CSq.B.T1T2","mrggi.CSq.p.T1T2","mrggi.CSq.FDR.T1T2","mrggi.CSq.GGcor","mrggi.CSq.F.T1","mrggi.CSq.n.covars","mrggi.CSq.n.pairs","mrggi.CSq.edge","mrggi.CSq.edge.fdr","mrggi.CSq.weak.instrument","mrggi.CSq.screened.out","mrggi.CSq.time.seconds","mrggi.CSq.error","mrggi.CSa.B.T1T2","mrggi.CSa.p.T1T2","mrggi.CSa.FDR.T1T2","mrggi.CSa.GGcor","mrggi.CSa.F.T1","mrggi.CSa.n.covars","mrggi.CSa.n.pairs","mrggi.CSa.edge","mrggi.CSa.edge.fdr","mrggi.CSa.weak.instrument","mrggi.CSa.screened.out","mrggi.CSa.time.seconds","mrggi.CSa.error","mrggi.CSi.B.T1T2","mrggi.CSi.p.T1T2","mrggi.CSi.FDR.T1T2","mrggi.CSi.GGcor","mrggi.CSi.F.T1","mrggi.CSi.n.covars","mrggi.CSi.n.pairs","mrggi.CSi.edge","mrggi.CSi.edge.fdr","mrggi.CSi.weak.instrument","mrggi.CSi.screened.out","mrggi.CSi.time.seconds","mrggi.CSi.error"
1,"model0",50,"small",1,0.33,0.270446974225342,0.260157102579251,1,1,1,0,7,1,0.231467279932597,0.194451724984968,"M0.1",7,"U1.1;U2.1;U3.1;U4.1;U5.1;U6.1;U7.1",0,0,0,7,0,FALSE,FALSE,"",77,0,77,7,77,FALSE,FALSE,"U28.5;U9.27;U10.55;U18.102;W1.127;U20.130;U28.201;U13.205;U4.227;U20.251;U15.426;U7.427;U5.476;U1.480;U34.480;U28.554;W1.579;U1.605;U19.629;U2.651;U21.676;U16.677;U27.678;U23.751;U19.754;U44.780;W1.803;U20.804;U7.854;U7.878;U2.901;U5.902;Z1.902;U18.903;U3.905;U31.929;U11.951;U41.952;U34.977;U18.978;U28.978;U9.979;U41.1001;U43.1001;U3.1026;U23.1104;U16.1176;U2.1201;U38.1202;U6.1203;U10.1205;U6.1226;U37.1226;U33.1229;U5.1276;U24.1278;U40.1280;U15.1327;U37.1327;U10.1353;U16.1353;U9.1354;U11.1354;U19.1355;U7.1377;U9.1380;U1.1403;U8.1427;U12.1429;U5.1451;U18.1451;U5.1454;U15.1454;Z1.1454;U23.1455;U12.1479;U18.1479",2,0,2,7,2,FALSE,FALSE,"U20.251;U9.979",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.867380395176873,0.222,0.228483187935116,0.972,0.971805752740958,0.227850924250262,41.636,0.024,0.00126226627861573,TRUE,0,NA,41.636,0.222,0.222,-0.109,0.00126226627861573,0,1,"none","none",TRUE,FALSE,0.200881004333496,NA,41.636,0.222,1,-0.109,0.00126226627861573,7,6,"none","none",TRUE,FALSE,0.0328409671783447,NA,41.636,0.222,0.222,-0.109,0.00126226627861573,0,1,"none","none",TRUE,FALSE,0.0082709789276123,NA,41.636,0.222,1,-0.109,0.00126226627861573,77,67,"none","none",TRUE,FALSE,0.402945041656494,NA,41.636,0.222,0.529,-0.109,0.00126226627861573,2,3,"none","none",TRUE,FALSE,0.0207588672637939,NA
2,"model1",50,"small",1,0.31,0.126890135649592,0.251914458721876,1,1,1,0,22,1,0.790263282017592,0.678786096908716,"M1.1",22,"U1.2;U2.2;U3.2;U4.2;U5.2;U6.2;U7.2;U8.2;U9.2;U10.2;U11.2;U12.2;U13.2;U14.2;U15.2;U16.2;U17.2;U18.2;U19.2;U20.2;U21.2;U22.2",0,0,0,22,0,FALSE,FALSE,"",92,1,91,21,90,TRUE,FALSE,"U5.1;U4.2;Z1.2;U18.4;U32.27;U7.78;U10.102;U12.128;U13.129;U32.130;U9.152;W1.203;Z1.205;U3.228;U3.230;U12.251;U34.251;U5.252;U24.252;U41.278;U9.280;U2.329;U6.351;U11.353;U6.355;U28.377;U31.402;U9.404;U30.427;U27.452;U22.477;U38.480;U22.502;U15.503;U30.526;U25.527;Z1.552;U30.604;U33.604;U20.629;U12.653;U15.655;W1.729;U26.751;U22.755;U26.755;U29.755;U24.827;W1.828;U9.852;U11.852;U28.855;U6.876;U22.877;U7.903;W1.904;U14.905;U17.930;U36.930;U23.951;U9.952;U10.953;U35.954;U44.954;U23.980;U6.1001;Z1.1001;U34.1053;U20.1078;U12.1126;U24.1152;W1.1154;U1.1178;Z1.1203;U1.1205;U9.1227;U20.1227;U44.1229;U13.1254;U30.1255;Z1.1276;U16.1278;U19.1328;Z1.1328;U6.1353;U20.1378;U15.1380;U42.1380;U3.1402;U8.1403;U2.1430;U27.1452",6,0,6,22,6,FALSE,FALSE,"U10.102;U24.252;U6.355;U9.952;U30.1255;U16.1278",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.412287435536409,0.91,0.789452620622468,0.425,0.42861419811004,0.910055805595301,0.114,8.804,0.637322695015772,TRUE,0,NA,0.114,0.91,0.91,0.447,0.637322695015772,0,1,"none","none",TRUE,FALSE,0.0239489078521729,NA,0.114,0.91,1,0.447,0.637322695015772,22,19,"none","none",TRUE,FALSE,0.145500898361206,NA,0.114,0.91,0.91,0.447,0.637322695015772,0,1,"none","none",TRUE,FALSE,0.00755882263183594,NA,0.114,0.91,1,0.447,0.637322695015772,92,75,"none","none",TRUE,FALSE,0.559387922286987,NA,0.114,0.91,1,0.447,0.637322695015772,6,7,"none","none",TRUE,FALSE,0.0460231304168701,NA
3,"model2",50,"small",1,0.34,0.249571173358709,0.288934653764591,1,1,1,0,5,1,0.240850673864588,0.157431599747942,"M2.1",5,"U1.3;U2.3;U3.3;U4.3;U5.3",0,0,0,5,0,FALSE,FALSE,"",70,0,70,5,68,TRUE,TRUE,"W1.3;Z1.3;U22.5;U4.30;U3.55;U19.79;U22.80;U15.102;U19.127;U1.228;U2.353;Z1.353;U10.354;U3.355;U15.377;U22.379;U35.426;U44.430;Z1.451;U26.480;U8.505;U19.528;U32.553;U2.555;U2.578;U9.578;U18.604;U30.629;U5.652;U8.654;U19.676;U31.676;U20.678;U31.678;U39.679;U13.726;U35.827;U16.830;U15.852;U16.855;U35.855;U4.876;U3.903;U13.928;U10.929;U43.929;U26.951;U31.954;U1.976;U5.977;U12.1001;U1.1005;Z1.1055;U23.1101;U19.1129;U37.1152;U23.1155;U7.1201;U29.1226;U26.1229;U34.1230;U42.1279;U24.1354;U13.1355;U11.1376;U16.1379;U41.1380;U16.1401;U8.1454;U7.1476",3,0,3,5,2,TRUE,FALSE,"Z1.3;Z1.353;U3.903",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.433686750491726,0.737,0.969963152244526,0.387,0.390967089414198,0.738704750902425,0.311,3.211,0.749417571388974,TRUE,0,NA,0.311,0.737,0.737,0.43,0.749417571388974,0,1,"none","none",TRUE,FALSE,0.0117728710174561,NA,0.311,0.737,1,0.43,0.749417571388974,5,4,"none","none",TRUE,FALSE,0.0256509780883789,NA,0.311,0.737,0.737,0.43,0.749417571388974,0,1,"none","none",TRUE,FALSE,0.0126481056213379,NA,0.311,0.737,1,0.43,0.749417571388974,70,57,"none","none",TRUE,FALSE,0.338257074356079,NA,0.311,0.737,1,0.43,0.749417571388974,3,4,"none","none",TRUE,FALSE,0.0428421497344971,NA
4,"model3",50,"small",1,0.46,0.132330548577011,0.21827160473913,1,1,1,0,30,1,0.836418015619245,0.886613245883836,"M3",30,"U1.4;U2.4;U3.4;U4.4;U5.4;U6.4;U7.4;U8.4;U9.4;U10.4;U11.4;U12.4;U13.4;U14.4;U15.4;U16.4;U17.4;U18.4;U19.4;U20.4;U21.4;U22.4;U23.4;U24.4;U25.4;U26.4;U27.4;U28.4;U29.4;U30.4",0,0,0,30,0,FALSE,FALSE,"",77,2,75,28,74,TRUE,FALSE,"U1.4;U16.4;Z1.4;U16.5;U39.27;U23.28;U2.76;U24.79;U4.128;U17.129;U10.180;U5.204;U31.205;U8.227;U13.252;U15.301;U9.353;U25.355;U2.377;U5.451;U4.501;U13.503;U4.553;U9.554;U12.579;U33.579;W1.627;U34.630;Z1.651;U36.655;Z1.655;U13.701;U7.705;U23.705;W1.705;U19.751;U9.753;U12.755;U29.780;U2.803;U21.805;U6.829;U16.830;U21.852;U6.853;U13.901;U9.930;U6.952;U14.952;U6.954;U2.976;U12.977;U31.977;U7.978;U20.978;U8.979;U1.1027;U5.1076;U29.1078;U15.1080;U12.1102;U21.1102;U11.1105;U17.1177;U11.1228;U14.1228;U36.1228;U16.1279;U12.1305;U22.1353;U19.1355;U24.1355;U11.1379;U20.1380;U15.1401;U6.1426;U2.1430",1,0,1,30,1,FALSE,FALSE,"U12.1305",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.105566549320346,0.833,0.431031436293297,0.142,0.14865194903454,0.834298306671517,0.124,8.059,2.15475393224983,TRUE,0,NA,0.124,0.833,0.833,-0.36,2.15475393224983,0,1,"none","none",TRUE,FALSE,0.281139850616455,NA,0.124,0.833,1,-0.36,2.15475393224983,30,19,"none","none",TRUE,FALSE,0.205960035324097,NA,0.124,0.833,0.833,-0.36,2.15475393224983,0,1,"none","none",TRUE,FALSE,0.0088651180267334,NA,0.124,0.833,1,-0.36,2.15475393224983,77,69,"none","none",TRUE,FALSE,0.831207990646362,NA,0.124,0.833,0.833,-0.36,2.15475393224983,1,1,"none","none",TRUE,FALSE,0.0282111167907715,NA
5,"model4",50,"small",1,0.34,0.211306218802929,0.225322724319994,1,1,1,0,36,1,0.820685834361327,0.813312708720711,"M4",36,"U1.5;U2.5;U3.5;U4.5;U5.5;U6.5;U7.5;U8.5;U9.5;U10.5;U11.5;U12.5;U13.5;U14.5;U15.5;U16.5;U17.5;U18.5;U19.5;U20.5;U21.5;U22.5;U23.5;U24.5;U25.5;U26.5;U27.5;U28.5;U29.5;U30.5;U31.5;U32.5;U33.5;U34.5;U35.5;U36.5",1,0,1,36,0,TRUE,FALSE,"Z1.5",66,0,66,36,65,TRUE,FALSE,"U18.2;U6.4;Z1.5;Z1.52;U5.55;U5.77;U15.80;U18.102;U1.126;U5.153;W1.251;U3.253;W1.253;Z1.255;Z1.276;U8.279;U4.302;U40.326;U23.328;U17.427;U19.476;U9.478;U19.479;U7.501;U7.502;U30.505;U17.527;U13.579;U11.626;U10.654;U6.655;U9.655;U41.676;U14.677;U22.751;U9.753;U25.780;U11.827;U1.853;U5.855;U10.901;U2.903;U24.929;U38.951;U16.977;U16.978;U35.1001;U8.1053;U22.1080;U18.1151;U8.1201;U28.1201;U11.1202;U9.1204;U28.1229;U1.1251;U31.1255;U22.1276;U4.1279;U6.1303;Z1.1330;U17.1351;U42.1452;U29.1453;U24.1455;U1.1479",1,0,1,36,0,TRUE,FALSE,"Z1.5",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.857490943519374,0.149,0.251253638294732,0.398,0.402270283085925,0.155931282752557,1.566,0.638,0.714125573355242,TRUE,0,NA,1.566,0.149,0.149,0.484,0.714125573355242,0,1,"none","none",TRUE,FALSE,0.0099179744720459,NA,1.566,0.149,1,0.484,0.714125573355242,36,23,"none","none",TRUE,FALSE,0.29419207572937,NA,1.566,0.149,0.299,0.484,0.714125573355242,1,2,"none","none",TRUE,FALSE,0.025521993637085,NA,1.566,0.149,1,0.484,0.714125573355242,66,59,"none","none",TRUE,FALSE,0.5938720703125,NA,1.566,0.149,0.299,0.484,0.714125573355242,1,2,"none","none",TRUE,FALSE,0.040855884552002,NA
6,"model0",150,"small",1,0.18,0.378759222384542,0.186191214574501,1,1,1,0,48,1,0.697165411569447,0.773437029691124,"M0.1",48,"U1.6;U2.6;U3.6;U4.6;U5.6;U6.6;U7.6;U8.6;U9.6;U10.6;U11.6;U12.6;U13.6;U14.6;U15.6;U16.6;U17.6;U18.6;U19.6;U20.6;U21.6;U22.6;U23.6;U24.6;U25.6;U26.6;U27.6;U28.6;U29.6;U30.6;U31.6;U32.6;U33.6;U34.6;U35.6;U36.6;U37.6;U38.6;U39.6;U40.6;U41.6;U42.6;U43.6;U44.6;U45.6;U46.6;U47.6;U48.6",1,0,1,48,0,TRUE,FALSE,"Z1.6",104,14,90,34,88,TRUE,TRUE,"U2.6;U4.6;U7.6;U10.6;U13.6;U15.6;U22.6;U24.6;U27.6;U33.6;U34.6;U35.6;U40.6;U48.6;W1.6;Z1.6;U17.7;U15.9;U42.31;U22.32;U14.34;U5.35;U16.56;U1.84;U12.158;U21.209;U41.258;U27.259;U9.260;U3.307;W1.334;U5.335;U19.381;U38.382;U29.383;U9.409;U14.432;U12.456;Z1.459;U11.482;U14.483;U26.507;U10.509;U12.510;U2.533;U23.560;U44.560;U15.585;U17.585;U2.606;U26.610;Z1.633;U26.634;U2.656;U40.656;U1.657;U17.658;U18.659;U30.659;U34.659;U2.681;U8.685;U32.685;W1.706;U3.731;U20.758;W1.758;U9.759;U16.760;U5.831;U13.831;U15.831;Z1.831;U25.857;U21.933;U19.981;U2.1007;U7.1008;U13.1031;U19.1082;U25.1110;U13.1159;U1.1160;W1.1209;U36.1235;U38.1235;U44.1235;U12.1257;Z1.1257;U44.1258;U28.1310;U36.1310;U21.1356;U2.1382;U2.1383;U5.1384;U19.1384;U11.1408;U21.1408;U3.1458;U21.1459;U10.1460;U27.1483;U12.1484",8,2,6,46,4,TRUE,TRUE,"U13.6;U24.6;W1.6;Z1.6;U2.606;U18.659;U2.1007;U10.1460",TRUE,TRUE,TRUE,"Other",1,0,0,1,1,0,0.0182965903621084,0.077,0.0758743913672692,0.018,0.0188986419529565,0.0793589730665616,-0.8,-1.25,5.63405319533007,TRUE,0,NA,NA,NA,NA,-0.00277103280609487,5.63405319533007,0,0,"screened","screened",TRUE,TRUE,0.00227189064025879,NA,NA,NA,NA,-0.00277103280609487,5.63405319533007,48,0,"screened","screened",TRUE,TRUE,0.00460982322692871,NA,NA,NA,NA,-0.00277103280609487,5.63405319533007,1,0,"screened","screened",TRUE,TRUE,0.00271296501159668,NA,NA,NA,NA,-0.00277103280609487,5.63405319533007,104,0,"screened","screened",TRUE,TRUE,0.0225741863250732,NA,NA,NA,NA,-0.00277103280609487,5.63405319533007,8,0,"screened","screened",TRUE,TRUE,0.00313997268676758,NA
7,"model1",150,"small",1,0.45,0.494160252809525,0.117180260038003,1,1,1,0,48,1,0.685493458583873,0.744979094199228,"M1.1",48,"U1.7;U2.7;U3.7;U4.7;U5.7;U6.7;U7.7;U8.7;U9.7;U10.7;U11.7;U12.7;U13.7;U14.7;U15.7;U16.7;U17.7;U18.7;U19.7;U20.7;U21.7;U22.7;U23.7;U24.7;U25.7;U26.7;U27.7;U28.7;U29.7;U30.7;U31.7;U32.7;U33.7;U34.7;U35.7;U36.7;U37.7;U38.7;U39.7;U40.7;U41.7;U42.7;U43.7;U44.7;U45.7;U46.7;U47.7;U48.7",1,0,1,48,0,TRUE,FALSE,"Z1.7",82,10,72,38,71,TRUE,FALSE,"U1.6;U8.7;U13.7;U16.7;U26.7;U28.7;U36.7;U44.7;U45.7;U46.7;U48.7;Z1.7;U12.56;U8.59;U2.107;U12.132;U19.133;U22.159;U5.183;U31.206;U2.207;U29.209;U23.231;U29.258;U4.310;U22.331;U30.333;U31.356;U5.357;U21.358;U30.359;U18.458;U32.557;U43.557;U45.560;U10.585;U2.634;U45.634;U26.635;U16.659;U6.660;U17.681;U34.682;U33.685;U9.706;U38.732;U9.734;U3.735;U12.758;U5.759;U13.760;U29.760;U36.783;U44.809;U45.809;U40.810;U8.831;U7.856;U8.908;U10.933;U13.981;U5.1032;U10.1058;U1.1083;U17.1084;U45.1107;U20.1135;U13.1160;U2.1183;U37.1206;U3.1207;U40.1258;U23.1283;U13.1335;U14.1359;Z1.1359;U11.1382;U26.1382;U37.1406;U20.1456;U5.1481;U18.1485",2,0,2,48,1,TRUE,FALSE,"Z1.7;U37.1206",TRUE,TRUE,TRUE,"Other",1,0,0,1,1,0,0.000712197444094387,0.637,0.958459817458269,0,0.000606785710762886,0.637201566915636,-0.125,-8.025,12.2772674077575,FALSE,0,NA,-0.125,0.637,0.637,-0.125,12.2772674077575,0,1,"none","none",FALSE,FALSE,0.0148751735687256,NA,-0.125,0.637,1,-0.125,12.2772674077575,48,32,"none","none",FALSE,FALSE,0.177098989486694,NA,-0.125,0.637,0.837,-0.125,12.2772674077575,1,2,"none","none",FALSE,FALSE,0.0146210193634033,NA,-0.125,0.637,1,-0.125,12.2772674077575,82,67,"none","none",FALSE,FALSE,0.341332912445068,NA,-0.125,0.637,0.837,-0.125,12.2772674077575,2,3,"none","none",FALSE,FALSE,0.02423095703125,NA
8,"model2",150,"small",1,0.01,0.481552008539438,0.195927097415552,1,1,1,0,4,102,0.207743245186946,0.120414097329174,"M2.1",4,"U1.8;U2.8;U3.8;U4.8",3,0,3,4,1,TRUE,TRUE,"W1.8;Z1.8;U10.581",110,2,108,2,106,TRUE,TRUE,"U29.6;U1.7;U42.7;U2.8;U3.8;W1.8;Z1.8;Z1.10;U44.31;U24.32;U4.34;U8.59;U4.82;U30.82;U3.84;U9.108;U1.109;U3.134;U15.134;U43.134;U18.206;U28.234;U4.256;U10.259;U41.282;U11.306;U5.331;U23.334;U23.356;U10.357;U30.359;U39.359;U14.384;U31.384;U12.408;U14.408;U23.408;U3.409;U9.456;U2.457;U43.460;U42.485;U19.506;U6.509;U1.510;U30.510;U45.510;U7.557;U32.558;U10.581;U3.583;U28.583;U6.609;U6.631;U1.656;U22.685;W1.706;U17.710;U18.710;U23.710;U4.732;U24.732;U21.782;Z1.808;U17.809;U23.809;U32.809;U44.809;U6.856;U20.882;U4.909;U5.935;U21.958;U14.960;U22.960;U4.981;U38.1006;U35.1031;U1.1034;U24.1060;U15.1081;Z1.1081;U23.1107;U25.1107;U1.1131;U8.1131;U5.1157;U10.1157;U8.1160;U9.1160;U32.1160;U15.1206;U16.1256;U6.1281;U8.1284;U14.1284;U15.1310;U45.1310;U13.1381;U26.1381;U20.1382;W1.1385;U30.1406;U36.1431;U40.1431;U9.1434;U21.1457;U30.1459;U1.1460;U10.1484",5,0,5,4,3,TRUE,TRUE,"W1.8;Z1.8;U1.109;U10.581;U8.1131",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.468160977757867,0.133,0.100864297351037,0.811,0.810897255698229,0.13469532938655,-6.215,-0.161,0.0574543765615184,TRUE,0,NA,-6.215,0.133,0.133,0.301,0.0574543765615184,0,1,"none","none",TRUE,FALSE,0.0127339363098145,NA,-6.215,0.133,0.53,0.301,0.0574543765615184,4,5,"none","none",TRUE,FALSE,0.031296968460083,NA,-6.215,0.133,0.53,0.301,0.0574543765615184,3,4,"none","none",TRUE,FALSE,0.0246469974517822,NA,-6.215,0.133,1,0.301,0.0574543765615184,110,89,"none","none",TRUE,FALSE,0.476551055908203,NA,-6.215,0.133,0.795,0.301,0.0574543765615184,5,6,"none","none",TRUE,FALSE,0.0483348369598389,NA
9,"model3",150,"small",1,0.04,0.39245968926698,0.155519038951024,1,1,1,0,29,13,0.659282418647863,0.448026672894805,"M3",29,"U1.9;U2.9;U3.9;U4.9;U5.9;U6.9;U7.9;U8.9;U9.9;U10.9;U11.9;U12.9;U13.9;U14.9;U15.9;U16.9;U17.9;U18.9;U19.9;U20.9;U21.9;U22.9;U23.9;U24.9;U25.9;U26.9;U27.9;U28.9;U29.9",1,0,1,29,0,TRUE,FALSE,"Z1.9",101,8,93,21,91,TRUE,TRUE,"U9.7;U4.9;U5.9;U10.9;U12.9;U15.9;U22.9;U25.9;U27.9;W1.9;Z1.9;U2.34;U32.34;U6.57;U19.57;U15.58;U23.59;W1.59;U23.82;U23.83;U10.84;U34.84;U5.157;U30.157;U1.158;U25.182;U37.182;U10.184;U25.209;Z1.231;U14.256;U20.259;U2.281;U15.282;U32.282;U3.331;U1.332;U26.334;U42.334;U16.357;Z1.357;U12.358;U30.358;U4.384;U11.458;U41.458;U21.460;U42.510;U1.535;U21.558;U1.583;U2.607;U4.633;U13.633;U8.635;U23.659;U9.706;U14.710;U12.731;U22.731;U10.756;U5.759;U6.760;U19.784;U3.785;U27.810;U2.834;U25.834;U38.834;W1.860;U9.883;U12.883;W1.907;U43.908;U41.959;U14.981;U17.983;U3.984;U1.1035;U24.1082;U1.1085;U15.1106;U29.1108;U10.1132;U16.1160;U16.1207;U1.1208;U2.1208;U22.1210;U29.1231;U8.1232;U37.1257;U39.1257;U39.1258;U6.1434;U9.1435;U10.1456;U21.1458;U8.1481;U10.1485;U25.1485",4,0,4,29,2,TRUE,TRUE,"W1.9;Z1.9;U12.731;U3.785",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.689822024902488,0.942,0.970423924018031,0.685,0.685277265164725,0.94215877346041,0.177,5.657,0.164893303398889,TRUE,0,NA,NA,NA,NA,0.0876622396863002,0.164893303398889,0,0,"screened","screened",TRUE,TRUE,0.00292396545410156,NA,NA,NA,NA,0.0876622396863002,0.164893303398889,29,0,"screened","screened",TRUE,TRUE,0.0115649700164795,NA,NA,NA,NA,0.0876622396863002,0.164893303398889,1,0,"screened","screened",TRUE,TRUE,0.00363707542419434,NA,NA,NA,NA,0.0876622396863002,0.164893303398889,101,0,"screened","screened",TRUE,TRUE,0.0111219882965088,NA,NA,NA,NA,0.0876622396863002,0.164893303398889,4,0,"screened","screened",TRUE,TRUE,0.00351691246032715,NA
10,"model4",150,"small",1,0.04,0.408328239899129,0.245623193308711,1,1,1,0,5,1,0.188558781295108,0.19763319902481,"M4",5,"U1.10;U2.10;U3.10;U4.10;U5.10",2,1,1,4,0,TRUE,FALSE,"U5.10;Z1.10",89,1,88,4,86,TRUE,TRUE,"U37.7;W1.8;U5.10;W1.10;Z1.10;U6.57;U26.59;U10.132;U6.156;U16.184;U44.210;U18.231;U18.234;U5.235;Z1.257;U26.283;U38.310;U24.356;U34.356;U7.384;U18.384;U38.385;U1.409;U36.410;U4.432;Z1.432;U7.483;U24.506;U28.506;U3.535;U39.556;W1.582;U1.585;U16.610;U33.633;U21.635;U25.635;U12.658;U36.685;U7.707;U1.732;U6.734;U8.735;U17.760;U14.781;U9.783;Z1.856;U5.906;U12.909;U10.910;U22.931;U25.931;W1.959;U19.983;U28.985;U5.1010;U22.1058;U13.1084;U13.1106;U13.1110;U5.1131;U11.1133;U34.1135;U8.1157;U10.1157;U11.1183;U17.1183;U12.1206;U2.1209;U35.1256;U4.1281;U24.1283;U22.1284;U26.1284;Z1.1284;U1.1308;U11.1335;U27.1359;W1.1360;U33.1381;U3.1383;U4.1383;U10.1431;U14.1435;U19.1435;U29.1435;U29.1456;U25.1483;U32.1485",4,1,3,4,2,TRUE,FALSE,"U5.10;Z1.10;U6.57;U14.1435",TRUE,TRUE,TRUE,"Other",0,0,0,0,0,0,0.597336163333046,0.118,0.175357362054484,0.357,0.358652083289992,0.12050485607753,1.563,0.64,0.847877055799561,TRUE,0,NA,1.563,0.118,0.118,0.265,0.847877055799561,0,1,"none","none",TRUE,FALSE,0.00975799560546875,NA,1.563,0.118,0.473,0.265,0.847877055799561,5,4,"none","none",TRUE,FALSE,0.0297768115997314,NA,1.563,0.118,0.355,0.265,0.847877055799561,2,3,"none","none",TRUE,FALSE,0.028325080871582,NA,1.563,0.118,1,0.265,0.847877055799561,89,66,"none","none",TRUE,FALSE,0.469810962677002,NA,1.563,0.118,0.473,0.265,0.847877055799561,4,4,"none","none",TRUE,FALSE,0.0479190349578857,NA
